,Total# of Applicable Test Cases,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source
jakarta-jmeter-v0,21,21
jakarta-jmeter-v1,23,21
jakarta-jmeter-v2,25,22
jakarta-jmeter-v3,28,21
jakarta-jmeter-v4,28,27
jakarta-jmeter-v5,32,28
