,Total# of Applicable Test Cases,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement
jakarta-jmeter-v0,21,21
jakarta-jmeter-v1,23,16
jakarta-jmeter-v2,25,1
jakarta-jmeter-v3,28,19
jakarta-jmeter-v4,28,26
jakarta-jmeter-v5,32,26
