,Total# of Test Cases in this version,Total# of Test Cases in this version and also applicable to the next version(i.e. regression test cases),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct
apache-xml-security-v0,16,13,16
apache-xml-security-v1,15,15,0
apache-xml-security-v2,15,13,0
apache-xml-security-v3,13,N/A,0
