,Total# of Applicable Test Cases,T25-Change based selection-null
jakarta-jmeter-v0,21,21
jakarta-jmeter-v1,23,16
jakarta-jmeter-v2,25,7
jakarta-jmeter-v3,28,5
jakarta-jmeter-v4,28,9
jakarta-jmeter-v5,32,10
