actual,T25-Change based selection-null_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,2037,439531,7,-1
apache-ant-v2,0.8235294117647058,597,338115,10,-1
apache-ant-v3,0.5,1177,31129,1,-1
apache-ant-v4,0.5384615384615384,779,1127120,1,-1
apache-ant-v5,0.27722772277227725,1173,622597,0,-1
apache-ant-v6,0.20192307692307693,1240,26298,1,-1
apache-ant-v7,0.26666666666666666,1758,2093498,2,-1
apache-ant-v8,0.17333333333333334,4087,237900,1,-1
